Time,Open,High,Low,Close,Volume
2010-01-01 00:00,1.43283,1.43293,1.43224,1.43293,608600007.1
2010-01-01 00:15,1.43285,1.43295,1.43229,1.43275,535600003.2
2010-01-01 00:30,1.4328,1.43303,1.43239,1.43281,436299999.2
2010-01-01 00:45,1.43285,1.43294,1.43229,1.43276,614299997.3
2010-01-01 01:00,1.43287,1.43292,1.43206,1.43282,705300008.8
2010-01-01 01:15,1.4329,1.43299,1.43212,1.43292,427300005.9
2010-01-01 01:30,1.43267,1.43305,1.43209,1.43282,399200000.8
2010-01-01 01:45,1.4328,1.43302,1.43218,1.43249,481200008.4
2010-01-01 02:00,1.43279,1.43303,1.43237,1.43301,607599996.6
2010-01-01 02:15,1.43301,1.43303,1.43222,1.43271,469600000.4
2010-01-01 02:30,1.43285,1.43305,1.43228,1.43285,492100001.3
2010-01-01 02:45,1.43288,1.43302,1.43218,1.43278,940599988
2010-01-01 03:00,1.43285,1.43302,1.43222,1.43287,931899999.6
2010-01-01 03:15,1.4328,1.43306,1.43219,1.43292,729700006.5
2010-01-01 03:30,1.4328,1.43302,1.43219,1.43276,898299997.3
2010-01-01 03:45,1.43284,1.43293,1.43181,1.43209,721799999.2
2010-01-01 04:00,1.43218,1.43302,1.43182,1.43273,828199995
2010-01-01 04:15,1.43263,1.43294,1.43204,1.43223,648600000.4
2010-01-01 04:30,1.43239,1.43302,1.43197,1.43282,584900001.5
2010-01-01 04:45,1.43284,1.43295,1.4322,1.43236,563500003.8
2010-01-01 05:00,1.43237,1.43294,1.43199,1.43268,616799997.3
2010-01-01 05:15,1.43275,1.43294,1.43211,1.43277,727899997.7
2010-01-01 05:30,1.43214,1.43298,1.4321,1.43268,593899999.6
2010-01-01 05:45,1.43253,1.43306,1.43214,1.43303,699299997.3
2010-01-01 06:00,1.43283,1.43335,1.43269,1.43334,681700002.7
2010-01-01 06:15,1.43331,1.43332,1.43268,1.43326,708699993.1
2010-01-01 06:30,1.43322,1.43333,1.4327,1.43315,925499998.1
2010-01-01 06:45,1.43318,1.43331,1.43269,1.43286,812399997.7
2010-01-01 07:00,1.43328,1.43342,1.43226,1.43304,912299995.4
2010-01-01 07:15,1.43303,1.43334,1.43254,1.43316,935200000.8
2010-01-01 07:30,1.43329,1.43344,1.43307,1.43328,974099998.5
2010-01-01 07:45,1.43328,1.43346,1.4327,1.43324,1111100006
2010-01-01 08:00,1.43297,1.43333,1.43218,1.43266,1296499996
2010-01-01 08:15,1.43266,1.43332,1.43247,1.43275,986800006.9
2010-01-01 08:30,1.43264,1.43333,1.43221,1.43293,1131000008
2010-01-01 08:45,1.43292,1.43335,1.43251,1.43308,1210800003
2010-01-01 09:00,1.43325,1.43343,1.43272,1.43315,1168700012
2010-01-01 09:15,1.43323,1.43332,1.4327,1.43308,1353199997
2010-01-01 09:30,1.43324,1.43334,1.43249,1.43258,1136300007
2010-01-01 09:45,1.43256,1.43333,1.43218,1.43321,1416700005
2010-01-01 10:00,1.43322,1.43345,1.43272,1.43329,1212600006
2010-01-01 10:15,1.43317,1.43339,1.43272,1.4328,1605900002
2010-01-01 10:30,1.43263,1.43344,1.43263,1.43328,1050899998
2010-01-01 10:45,1.43332,1.43346,1.43307,1.43325,1133499996
2010-01-01 11:00,1.43327,1.43343,1.43269,1.43316,1018100002
2010-01-01 11:15,1.43315,1.43334,1.43274,1.43324,828000000
2010-01-01 11:30,1.43324,1.43334,1.43269,1.43325,846599998.5
2010-01-01 11:45,1.43314,1.43334,1.43267,1.43306,787200006.5
2010-01-01 12:00,1.43321,1.43333,1.43268,1.43301,646499985.7
2010-01-01 12:15,1.43287,1.43344,1.43258,1.43295,895900007.2
2010-01-01 12:30,1.43324,1.43336,1.43267,1.43318,957799995.4
2010-01-01 12:45,1.43317,1.43336,1.43271,1.43293,1063199999
2010-01-01 13:00,1.43284,1.43288,1.43208,1.43209,876599998.5
2010-01-01 13:15,1.43208,1.43334,1.43207,1.43276,690500000
2010-01-01 13:30,1.43316,1.43348,1.43287,1.43325,878500011.4
2010-01-01 13:45,1.43327,1.43352,1.43288,1.43331,1074599998
2010-01-01 14:00,1.43279,1.43352,1.43266,1.43346,1052500000
2010-01-01 14:15,1.43346,1.43351,1.43274,1.43284,933900001.5
2010-01-01 14:30,1.43311,1.43354,1.43259,1.43307,969900009.2
2010-01-01 14:45,1.43335,1.43351,1.43266,1.43308,1037200008
2010-01-01 15:00,1.43337,1.43354,1.43316,1.43327,1073199986
2010-01-01 15:15,1.43335,1.43353,1.43318,1.43353,1079899998
2010-01-01 15:30,1.43334,1.43352,1.43317,1.43337,1086800003
2010-01-01 15:45,1.43336,1.43354,1.43326,1.43337,1087999992
2010-01-01 16:00,1.43337,1.43354,1.43225,1.43244,932199996.9
2010-01-01 16:15,1.43244,1.43353,1.43226,1.43287,991799995.4
2010-01-01 16:30,1.43327,1.43344,1.43287,1.43327,1014600012
2010-01-01 16:45,1.43325,1.43352,1.43296,1.43326,1249200008
2010-01-01 17:00,1.43335,1.4335,1.43289,1.43323,736599996.6
2010-01-01 17:15,1.43336,1.43356,1.43326,1.43338,941799999.2
2010-01-01 17:30,1.43333,1.43352,1.43236,1.43274,951200004.6
2010-01-01 17:45,1.43283,1.43301,1.43237,1.43284,965799995.4
2010-01-01 18:00,1.43283,1.43353,1.43241,1.43325,813099996.6
2010-01-01 18:15,1.43333,1.4335,1.43314,1.43334,769699993.1
2010-01-01 18:30,1.43333,1.43352,1.43316,1.43346,617099988.9
2010-01-01 18:45,1.43342,1.43344,1.43326,1.43331,845499996.2
2010-01-01 19:00,1.43335,1.43352,1.43316,1.43333,587299995.4
2010-01-01 19:15,1.43337,1.43352,1.43316,1.43334,773699993.1
2010-01-01 19:30,1.43336,1.43345,1.43315,1.43324,848400013
2010-01-01 19:45,1.43328,1.43353,1.43316,1.43342,881999992.4
2010-01-01 20:00,1.43331,1.43352,1.43316,1.43327,973799995.4
2010-01-01 20:15,1.43328,1.43353,1.43325,1.43343,963999998.1
2010-01-01 20:30,1.43336,1.43352,1.43318,1.43333,643799999.2
2010-01-01 20:45,1.43323,1.43352,1.43318,1.43352,877100002.3
2010-01-01 21:00,1.43333,1.4335,1.43316,1.43316,794900005.3
2010-01-01 21:15,1.43316,1.43354,1.43316,1.43354,607100003.2
2010-01-01 21:30,1.43332,1.43354,1.43317,1.43329,982100009.9
2010-01-01 21:45,1.43332,1.43356,1.43315,1.43335,1113299992
2010-01-03 22:00,1.43024,1.43074,1.42951,1.43061,387299999.2
2010-01-03 22:15,1.43062,1.43173,1.43042,1.43165,385699996.9
2010-01-03 22:30,1.43133,1.43239,1.43064,1.43211,327099999.4
2010-01-03 22:45,1.43214,1.43359,1.43164,1.43244,425900001.5
2010-01-03 23:00,1.43233,1.43334,1.432,1.43287,388800000.2
2010-01-03 23:15,1.4328,1.43321,1.43189,1.43223,398300003.1
2010-01-03 23:30,1.43218,1.43307,1.43187,1.43262,332799999.2
2010-01-03 23:45,1.43277,1.43282,1.43132,1.43141,355700001.7
2010-01-04 00:00,1.43143,1.43151,1.42894,1.42894,321600000.4
2010-01-04 00:15,1.42887,1.43199,1.42884,1.4312,366400003.4
2010-01-04 00:30,1.43111,1.43166,1.42931,1.43001,456500001.9
